username,date,score,version,text
"Rarelucky (Edo)","2023-04-24T06:50:36.225Z",5,"6.48.0","Materi dapet Contoh soal dapet Diskon dapet (kurang banyak)"
"Lailatul Maeda Ramadhani","2023-04-24T04:18:36.977Z",5,"6.38.0","Assalamu'alaikum warahmatullahi wabarakatuh! Saya berterima kasih kepada Ruangguru karena telah sangat membantu saya untuk belajar di sekolah/rumah yang akan memberikan dampak positif kepada saya! Ini aplikasi yang harus didownload oleh seluruh siswa di Indonesia! Dengan aplikasi ini, saya nggak perlu lg les diluar, karena saya nggak mau nyusahin kedua orang tua, jadi aplikasi ini sangat BERMANFAAT BANGET !!!!"
"Ika Warsini","2023-04-24T03:38:20.312Z",1,null,"Bagus juga ya tapi iklan nya banyak banget bisa bisa 5 iklan 1 acara"
"Berlin Tamba","2023-04-23T18:22:29.416Z",5,"6.57.0","Ok Google"
"Chomang Aj","2023-04-23T12:54:59.910Z",5,"6.56.0","Bagus"
"Riskia Nur Azizah Ismail","2023-04-23T11:13:53.380Z",1,"6.55.0","Video ruang belajar nya gakbisa di akses padahal langganan 3 paket, mana udah berkali-kali copot-pasang apk nya tetep aja videonya gak bisa mutar selalu kembali ke menu awal tiap mau nonton video belajarnya. Mau pindah device ke laptop tapi stiap mau download error"
"Haifa Machda Ayattul Husna","2023-04-23T04:02:01.730Z",5,"6.56.0","Bagus jadi saya nggak perlu les lagi, saya jadi nggak malas belajar. Hore, makasih ya ruang guru 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
"Dona Felicia","2023-04-23T01:28:32.871Z",5,"6.57.0","Appnya bagus🤩"
"Amar Gabe","2023-04-22T16:34:15.771Z",5,"6.56.0","Aplikasi ini lengkap dalam menyajikan materi yang diajarkan di sekolah. Guru yang ada disekolah belum tentu menguasai skill dalam mengajar, akibatnya murid banyak yang belum memahami materi. Dengan hadirnya aplikasi ini, siswa-siswi dapat pengalaman belajar dari guru guru hebat dari tim ruangguru dengan skill mengajar mereka. Serta didukung oleh tim kreator dibidang IT dan multimedia. Semangat terus dalam mencerdaskan anak bangsa dan terimakasih telah mengabdikan diri menjadi guru hebat."
"Muhammad Khalifahtul Rasyid (Rahasia MKR)","2023-04-22T13:31:32.188Z",5,"6.49.0","Saya M. Khalifahtul Rasyid dari SMA Negeri 3 Lubukbasung, Alhamdulillah semenjak adanya Aplikasi Ruangguru ini. Prestasi saya semakin meningkat, semua orang ingin belajar dan tau memanfaatkan aplikasi ini. Fiturnya canggih, super lengkap, dan tidak membosankan. Mohon diperbaharui dan terus menerima kekurangan serta kelebihan yang didapatkan menurut pendapat dari orang lain. Saya bangga menggunakan aplikasi Superapp Belajar No. 1 di Indonesia. Selamat berjuang untuk mendapatkan pendidikan."
"Dimas 123","2023-04-21T12:08:03.257Z",5,null,"Aplikasi ini sangat membantu pembelajaran"
"Gregory Ambarita","2023-04-21T07:53:49.169Z",4,"6.56.0","Video pembelajaran jelas mudah dipahami ditambah adanya konsep kilat adapto jdi lebih paham tapi kalau bisa tambahkan subtitle di setiap video pembelajaran, karena ada beberapa kata yg kurang jelas didengar."
"Christian Clever Nur","2023-04-21T04:24:02.880Z",5,"6.33.2","Very helpful"
"Makhluk Eddan","2023-04-21T01:21:39.915Z",5,null,"Aplikasi belajar yang pelang seru dan asik... belajar jadi gak membosankan lagi.. dan semakin semangat setiap hari untuk belajar..."
"Pande Puspa Dewi","2023-04-20T23:45:07.364Z",3,"6.56.0","ada yang bisa bantu kenapa eror terus yaa, sudah melakukan semua persyaratannya ttp tetap ga bisaa😭 Padahal mau belajar banget"
"Ratno Ratno","2023-04-20T13:23:03.272Z",5,"6.56.0","💯"
"Weny Violeta","2023-04-20T11:48:18.849Z",5,"6.56.0","Bagusss"
"Sandrina Ferani A. P.","2023-04-20T02:14:39.491Z",5,null,"Bagus"
"Hany One","2023-04-20T01:14:14.192Z",1,null,"kecewa banget sama RG tiap awal langganan selalu paket belajar nya g aktif, kalo aktif pun sengang nya lama banget,bahkan sudah chat CS RG tp malah cuma suruh nunggu tanpa ada penanganan yang pasti,apalagi dananya ga bisa di refund."
"Eko Eryanto","2023-04-19T14:02:10.310Z",1,null,"karena banyak pesan spam ke saya!"
"Abdulloh Azzam","2023-04-19T06:46:07.224Z",3,"6.56.0","Makasih ruang guru tapi masalah nya di matematika nya karena pas pelajaran itu tidak sesuai pembelajaran,tapi Alhamdulillah saya bisa belajar tapi tanpa ruang guru tetapi ini buat saya resah soalnya saya kangen belajar diruang guru tapi karena ada kesalahan pada saya jadi saya dichat tuh tapi saya jadi sedih karena tidak bisa belajar diruang guru makanya aku kasih bintang 3!"
"muhammad lupi","2023-04-19T06:41:58.446Z",5,null,"amin amin amin alarm guru yu"
"almira zalfa","2023-04-19T06:26:02.808Z",5,"6.56.0","Aku adalah siswi kelas 12 sma saat ini sedang berjuang di utbk. Dan aku memakai rung guru sebagai bimbel ku aku sangat terbantu."
"Sulastri Lastri","2023-04-19T03:27:09.430Z",5,"6.56.0","Aku suka gamenya"
"Galinda Jaya","2023-04-19T00:01:28.158Z",5,"6.56.0","Belajar jadi semakin asik"
"Ayu Salsabila","2023-04-18T21:30:10.454Z",5,"6.56.0","Good, materi mudah di pahami, ringkas, jelas."
"Adrian “benten” Ramadhan","2023-04-18T14:13:48.300Z",1,"6.56.0","ngerjain di to ny di laptop malah suru download apk nya aneh²"
"Supriyani Yani","2023-04-18T10:27:41.000Z",5,"6.55.0","Bagus"
"chris jhon official","2023-04-18T08:33:52.136Z",1,"6.56.0","Gila udah 3 hari gk bisa ikut kls gara aplikasi loading mulu,usah di copot pasang tapi malah gk ada perubahan masuk kelas ya lama banget gk bisa padahal buka aplikasi lain bisa ini saya pake kartu XL kok susah banget loding ya pertanyaan kenapa buka yang lain lancar aja kesal sumpahh"
"Irene Indri I.R","2023-04-18T07:04:45.657Z",5,"6.56.0","Spektakuler 👍🏻, boleh kali ya tambah fitur catatan🤩 jadi sambil nonton video bisa catat hal-hal penting, di catatan bisa bikin gambar/menggambar juga, berfungsi untuk mengingat simbol-simbol berbahaya (KIMIA) hehe😄❤️‍🩹 soalnya kalo catet di buku suka lupa. This is the modern era, when else will learning applications have note features?"
"rizky amalia","2023-04-18T05:48:59.881Z",5,null,"Versi dekstopnya mohon di update, dari fitur yg blom bisa digunakan di tampilan dekstop sampai kendala server, akhir-akhir ini agak lemot klo mau liat pembahasan try out"
"Anisa Ulfajriyah","2023-04-18T05:20:47.168Z",5,null,"Nice!!!"
"ILHAM1123 _","2023-04-17T17:27:20.438Z",5,null,"Dengan aplikasi ini aku mudah glory di mobile legend"
"Nuriyah Mahbubah Muttaqillah","2023-04-17T13:37:00.537Z",5,"6.55.0","baguss, sejak smp pake rg ini. btw min, krnapa rg yg di laptop gaada menu utbk centernya yaa. di laptop jg tampilannya ngebosenin huhu sayang bgt, pdhl lebih enak kalo bljar lwat laptop :("
"Radi Ayuhara","2023-04-17T09:30:47.669Z",3,null,"Namanya ruangguru tpi kok yg make murid"
"Muhamad Andri","2023-04-17T02:39:19.713Z",5,"6.56.0","Penjelasanya mudah d pahami"
"wong sehat","2023-04-17T02:09:00.762Z",4,null,"Lumayan membantu"
"rumondang siregar","2023-04-16T10:36:14.282Z",5,null,"Ruang guru bimbel SD SMP"
"Nafisa Azrawia","2023-04-16T06:13:39.390Z",5,"6.56.0","WOW The best learning app I've ever downloaded 🤩"
"bintang pelangi","2023-04-16T03:48:50.177Z",5,"6.55.0","Sangat membantu dalam hal belajar"
