username,date,score,version,text
"Layli Safira","2023-03-02T04:35:00.226Z",1,"6.8.0","Assalamualaikum kenapa saya mau join kelas sangat sulittttttt , ada apaaaaaaaa?"
"goldy kaleb","2023-02-28T13:18:42.481Z",5,null,"Ya menurut saya dengan mengunakan aplikasi ini mungkin dapat membantu saya lulus ujian akhir sekolah karna saat ini saya sedang mempersiapkan diri untuk mengikuti ujian ujian karna saya sudah kelas 9 dan tahun ini akan lulus jadi saya harap dengan belajar mengunakan saya dapat belajar dan mengerti soal2 yang akan keluar saat ujian ini....sekian trimakasi...😁😅😆"
"siti fatimah","2023-02-24T05:41:09.897Z",1,null,"nd bisa di download idiottt"
"Dimas Dimas","2023-02-24T05:37:12.140Z",1,"6.7.1","Sekarang quipper kebanyakan update plus sekarang menuh menuhin ruang penyim paman juga"
"Raffi Adhitya","2023-02-24T02:34:20.394Z",5,null,"Nice👍🏻🗿"
"Damar Avicena","2023-02-23T04:11:42.434Z",4,"6.8.0","untuk bagian kota masih kurang termasuk di jawa timur, tidak ada kota surabaya"
"Silvester Dery","2023-02-22T14:10:53.746Z",2,null,"ga semua tutor penjelasannya baik, ada yng kikuk, ada yang lancar omongannya, ada yang serius dilapisi bercanda, ada yang terlalu fokus pada pembawaan materi, ada yang nge jelasin materi seakan-akan pendengar langsung paham dan menghilangkan inti yang sekiranya penting dalam apa yang dia bawa dalam materi tsb kalau ada bintang 2,5 aku kasih sih"
"Ester Parapat","2023-02-20T11:12:02.981Z",2,null,"Min kenapa ya apk malah ga bisa dibuka selalu nyuruh di update pdhl udh sy update terus malah keulang terus updateannya pdhl awal2 oke2 aja makin lama malah nguji kesabaran wkwk"
"Egistia","2023-02-16T08:34:45.545Z",5,"6.7.1","good app"
"Dumarta agustina","2023-02-15T03:15:55.751Z",1,null,"penyimpanannya gede banget, boros kuota. Materinya sedikit, padahal udah langganan"
"Sarah Puspita","2023-02-13T14:31:07.385Z",5,"6.7.0","baguss,cepet tanggap jadinya lumayan ngebantu banget si ini"
"Cut Keisya","2023-02-13T10:32:14.105Z",1,"6.4.0","ini kok gabisa di update?pdhal jaringan bagus:(("
"Anggita Devi Arumjati","2023-02-10T01:30:05.471Z",2,"6.3.2","Saya mau membuka quipper tetapi tidak bisa karena harus diupdate. Ketika saya update kenapa tidak bisa terus, padahal sudah 100%, dan hal itu terjadi berulang-ulang sehingga menghabiskan banyak kuota. Saat ini saya juga sangat membutuhkan membuka materi di quipper untuk belajar, tapi kalau kasusnya seperti ini sehingga saya tidak bisa membuka, maka saya harus bagaima? Di sini saya juga sudah berlangganan, masa harus terbuang sia-sia."
"Coky Wahyu Baroto","2023-02-09T06:53:36.591Z",5,"6.7.0","Meskipun agak rumit cara masuknya,dan kadang kadang ga bisa gabung ke kelas padahal udah bener kodenya,tapi tetep bagus lah jadi saya ga usah capek capek nulis tinggal mikir dan pencet aja"
"M Naufal Akmal Nashery","2023-02-08T04:09:52.917Z",1,"6.5.0","Kakak adminnya dibuat konsul cara lebih lanjut di quipper dichat gada balesan rugi deh"
"16_Maulia K","2023-02-06T12:17:02.207Z",1,"6.4.1","Nyesel langanan update mulu udah diupdate masih aja nyuruh update apa makasud"
"Fellyn Ken","2023-02-05T12:49:52.105Z",2,null,"Memang bagus sih cuman mau belajar make aplikasi ini premium semua, nggak ada yg gratis. Padahal mo belajar harus premium terus :("
"muhammad nofran","2023-02-04T21:55:25.325Z",5,null,"Video nya bagus-bagus kalau menonton video ini setiap hari kita jadi lebih mudah mengingat pelajarannya"
"Sarah Mohamad jahid","2023-02-04T10:10:46.812Z",4,"6.3.2","Tingkatkan kembali ! Oke"
"Wanda[완다] Hamidah","2023-02-02T09:57:36.230Z",3,"6.7.0","App nya butuh ruang penyimpanan yg banyak:( . Dibuka sebentar langsung makan penyimpanan 500MB an. App nya juga ga bisa dipindahkan ke memori eksternal hp:("
"Alya Hasna","2023-02-01T12:43:41.299Z",5,"6.6.0","Bagi saya bagus dan sangat membantu"
"mely staa","2023-02-01T10:10:12.975Z",5,"6.6.0","Baik lumayan agak paham"
"03. CAHYA HADINATA","2023-01-31T10:36:16.793Z",1,"6.7.0","Sangat kecewa,saya kira bisa belajar dengan baik. Sistem download dan lain lain nya sangat jelek"
"fhm ytprem","2023-01-31T07:06:22.960Z",5,"6.6.0","keren"
"Winda Sari","2023-01-30T12:52:54.562Z",4,null,"Ok bagus 👍 aku beri bintang 4 saja y"
"Dian Andriano","2023-01-30T08:34:51.820Z",5,"6.6.0","Aplikasi enak dipakai saat mengerjakan tugs dri guru"
"Muhammad Zaki Setyawan","2023-01-29T23:07:22.292Z",2,null,"Hasil to gk muncul2...kecewa"
"imah yulianti","2023-01-25T12:22:04.644Z",2,"6.6.0","tadi mau isi asal sekolah, wilayah sumatera nya gak ada"
"ALFIAN JANUARDI","2023-01-25T02:23:53.716Z",5,"6.5.0","Sangat membantu dalam memahami sebuah materi"
"Muhnur Anugrahakbar","2023-01-23T12:24:33.549Z",1,"6.4.0","Materi intensif utbknya terlalu singkat jdi susah di mengerti, bahkan gda catatan seprti materi pelajaran yang lain"
"I'm Jarvis","2023-01-20T08:58:01.689Z",5,"6.6.0","Sejauh ini sih oke oke aja."
"May Virna Angel Azzahroh","2023-01-20T08:43:17.832Z",1,"6.6.0","durasi video nya terlalu singkat, jd yg nonton sulit buat paham dg video sesingkat itu. yg di video cuma 1 pembahasan sdgnkan soalnya bentuk lanjutan yg blm di ajarin sblmnya."
"RAYNARD NATHANIEL","2023-01-19T00:24:45.247Z",5,"6.6.0","Keren 😀"
"FADHLAN HAZAMI DWI PUTRA","2023-01-19T00:24:39.465Z",1,"6.6.0","SAYA TIDAK SUKA BELAJAR"
"Fajar Jaya Muhammad","2023-01-18T08:43:07.874Z",1,null,"Saya nyesel berlangganan di quipper,gimana tidak,setiap malam saya tonton vidio pembelajaran selalu macet2,padahal jaringan saya bagus. Yang kedua,waktu saya mau gabung ke live class selalu keluar2 sendiri. Mohon dongggg diperbaikiii lagiiii,jadi malas gw"
"jeni sartika","2023-01-17T05:00:31.249Z",4,null,"not bad"
